audit_id,audit_type,auditing_body,site_id,supplier_id,audit_scope,regulatory_framework,lead_auditor,audit_start_date,audit_end_date,audit_days,overall_rating,total_findings,critical_findings,major_findings,minor_findings,observations,status,report_issue_date,response_due_date
AUD-0001,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Computer Systems Validation and Computer Systems Validation,21 CFR 820,Lead Auditor 1,2022-05-14,2022-05-18,4.2,Satisfactory,8,0,3,5,0,Closed,2022-06-01,2022-06-17
AUD-0002,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Computer Systems Validation and Batch Record Review,21 CFR 211,Lead Auditor 7,2022-03-12,2022-03-15,3.6,Acceptable,10,0,4,6,0,Closed,2022-03-29,2022-04-14
AUD-0003,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Environmental Monitoring and Batch Record Review,ISO 9001,Lead Auditor 4,2022-10-18,2022-10-20,2.8,Satisfactory,9,0,3,6,0,Closed,2022-11-03,2022-11-19
AUD-0004,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Change Control and Computer Systems Validation,21 CFR 820,Lead Auditor 9,2022-10-08,2022-10-12,4.1,Acceptable,7,0,2,5,0,Closed,2022-10-26,2022-11-11
AUD-0005,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Supplier Management and Batch Record Review,21 CFR 211,Lead Auditor 10,2023-05-27,2023-05-29,2.3,Satisfactory,7,0,3,4,0,Closed,2023-06-12,2023-06-28
AUD-0006,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Computer Systems Validation,EU GMP,Lead Auditor 4,2023-10-20,2023-10-23,3.7,Satisfactory,4,0,1,3,0,Closed,2023-11-06,2023-11-22
AUD-0007,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering Training Management and Change Control,21 CFR 211,Lead Auditor 10,2023-03-22,2023-03-26,4.5,Satisfactory,9,0,3,5,1,Closed,2023-04-09,2023-04-25
AUD-0008,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering QC Laboratory and Computer Systems Validation,ISO 9001,Lead Auditor 5,2023-06-04,2023-06-06,2.8,Unsatisfactory,12,0,1,3,8,Closed,2023-06-20,2023-07-06
AUD-0009,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Environmental Monitoring,21 CFR 211,Lead Auditor 1,2024-03-10,2024-03-14,4.4,Satisfactory,7,0,1,6,0,Closed,2024-03-28,2024-04-13
AUD-0010,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Manufacturing,ISO 9001,Lead Auditor 5,2024-07-17,2024-07-19,2.8,Satisfactory,9,0,1,5,3,Closed,2024-08-02,2024-08-18
AUD-0011,Internal,Internal QA,SITE-US-01,,GMP compliance audit covering CAPA System and Computer Systems Validation,ISO 9001,Lead Auditor 2,2024-06-25,2024-06-28,3.6,Satisfactory,7,0,1,6,0,Closed,2024-07-12,2024-07-28
AUD-0012,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Document Control and QC Laboratory,21 CFR 211,Lead Auditor 4,2022-01-10,2022-01-14,4.9,Acceptable,9,0,4,5,0,Closed,2022-01-28,2022-02-13
AUD-0013,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Change Control and Batch Record Review,21 CFR 211,Lead Auditor 8,2022-07-07,2022-07-09,2.2,Satisfactory,6,0,1,5,0,Closed,2022-07-23,2022-08-08
AUD-0014,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Batch Record Review and QC Laboratory,ISO 9001,Lead Auditor 8,2022-08-01,2022-08-05,5.0,Satisfactory,12,0,2,2,8,Closed,2022-08-19,2022-09-04
AUD-0015,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Change Control and Document Control,21 CFR 820,Lead Auditor 10,2022-07-13,2022-07-14,2.0,Satisfactory,11,0,1,6,4,Closed,2022-07-28,2022-08-13
AUD-0016,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Computer Systems Validation and Batch Record Review,ISO 9001,Lead Auditor 9,2023-04-05,2023-04-07,2.3,Satisfactory,9,0,4,5,0,Closed,2023-04-21,2023-05-07
AUD-0017,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Batch Record Review and Training Management,ICH Q10,Lead Auditor 4,2023-02-10,2023-02-12,2.5,Acceptable,10,0,4,3,3,Closed,2023-02-26,2023-03-14
AUD-0018,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Document Control and Computer Systems Validation,EU GMP,Lead Auditor 8,2023-11-20,2023-11-22,2.6,Satisfactory,9,0,1,2,6,Closed,2023-12-06,2023-12-22
AUD-0019,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Batch Record Review and Environmental Monitoring,ICH Q10,Lead Auditor 4,2024-02-11,2024-02-15,4.6,Acceptable,10,0,3,4,3,Closed,2024-02-29,2024-03-16
AUD-0020,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Change Control and Environmental Monitoring,EU GMP,Lead Auditor 2,2024-11-10,2024-11-14,4.5,Satisfactory,4,0,1,3,0,Response Pending,2024-11-28,2024-12-14
AUD-0021,Internal,Internal QA,SITE-US-02,,GMP compliance audit covering Computer Systems Validation and Training Management,ICH Q10,Lead Auditor 7,2024-01-28,2024-01-31,3.4,Acceptable,5,0,2,2,1,Closed,2024-02-14,2024-03-01
AUD-0022,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Training Management and Environmental Monitoring,ICH Q10,Lead Auditor 1,2022-07-27,2022-07-28,1.5,Acceptable,8,0,2,6,0,Closed,2022-08-11,2022-08-27
AUD-0023,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Batch Record Review and QC Laboratory,21 CFR 820,Lead Auditor 2,2022-05-25,2022-05-27,2.7,Satisfactory,9,0,2,3,4,Closed,2022-06-10,2022-06-26
AUD-0024,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Environmental Monitoring and Batch Record Review,21 CFR 820,Lead Auditor 7,2022-09-21,2022-09-24,3.5,Satisfactory,9,0,4,4,1,Closed,2022-10-08,2022-10-24
AUD-0025,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Manufacturing and Manufacturing,21 CFR 820,Lead Auditor 4,2023-02-14,2023-02-17,3.7,Unsatisfactory,8,0,2,6,0,Closed,2023-03-03,2023-03-19
AUD-0026,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Document Control and Change Control,EU GMP,Lead Auditor 5,2023-05-03,2023-05-07,4.0,Satisfactory,8,0,4,4,0,Closed,2023-05-21,2023-06-06
AUD-0027,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering QC Laboratory and Batch Record Review,ICH Q10,Lead Auditor 9,2023-02-05,2023-02-06,1.9,Unsatisfactory,11,0,1,2,8,Closed,2023-02-20,2023-03-08
AUD-0028,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Training Management and Change Control,ICH Q10,Lead Auditor 8,2024-06-11,2024-06-15,4.1,Satisfactory,8,0,4,4,0,Closed,2024-06-29,2024-07-15
AUD-0029,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Batch Record Review and Computer Systems Validation,ISO 9001,Lead Auditor 8,2024-04-09,2024-04-12,3.8,Acceptable,6,0,4,2,0,Closed,2024-04-26,2024-05-12
AUD-0030,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering CAPA System and Manufacturing,21 CFR 820,Lead Auditor 1,2024-03-11,2024-03-14,3.3,Satisfactory,12,0,1,5,6,Closed,2024-03-28,2024-04-13
AUD-0031,Internal,Internal QA,SITE-EU-01,,GMP compliance audit covering Supplier Management and Computer Systems Validation,21 CFR 211,Lead Auditor 9,2024-01-02,2024-01-05,4.0,Satisfactory,9,0,3,4,2,Closed,2024-01-19,2024-02-04
AUD-0032,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Batch Record Review and Supplier Management,21 CFR 820,Lead Auditor 7,2022-02-02,2022-02-05,3.1,Acceptable,7,0,4,3,0,Closed,2022-02-19,2022-03-07
AUD-0033,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Document Control and CAPA System,EU GMP,Lead Auditor 9,2022-01-21,2022-01-25,4.7,Unsatisfactory,6,0,2,4,0,Closed,2022-02-08,2022-02-24
AUD-0034,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Supplier Management and Environmental Monitoring,ISO 9001,Lead Auditor 4,2022-03-20,2022-03-24,4.7,Acceptable,5,1,2,2,0,Closed,2022-04-07,2022-04-23
AUD-0035,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Computer Systems Validation and Document Control,ICH Q10,Lead Auditor 1,2023-05-24,2023-05-28,4.8,Unsatisfactory,12,0,4,2,6,Closed,2023-06-11,2023-06-27
AUD-0036,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering QC Laboratory and Environmental Monitoring,ICH Q10,Lead Auditor 3,2023-04-25,2023-04-29,4.5,Acceptable,9,1,3,5,0,Closed,2023-05-13,2023-05-29
AUD-0037,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Computer Systems Validation and Environmental Monitoring,EU GMP,Lead Auditor 2,2023-01-10,2023-01-11,1.5,Acceptable,8,1,2,5,0,Closed,2023-01-25,2023-02-10
AUD-0038,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Document Control and Environmental Monitoring,EU GMP,Lead Auditor 8,2023-03-06,2023-03-08,2.5,Satisfactory,6,0,3,3,0,Closed,2023-03-22,2023-04-07
AUD-0039,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Supplier Management and Environmental Monitoring,ICH Q10,Lead Auditor 5,2024-07-22,2024-07-24,2.5,Acceptable,6,0,3,3,0,Closed,2024-08-07,2024-08-23
AUD-0040,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering CAPA System and Environmental Monitoring,ISO 9001,Lead Auditor 6,2024-07-14,2024-07-16,2.6,Satisfactory,7,1,3,3,0,Closed,2024-07-30,2024-08-15
AUD-0041,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Document Control and CAPA System,21 CFR 211,Lead Auditor 8,2024-09-03,2024-09-04,1.9,Acceptable,11,0,4,2,5,Closed,2024-09-18,2024-10-04
AUD-0042,Internal,Internal QA,SITE-EU-02,,GMP compliance audit covering Manufacturing and Manufacturing,21 CFR 820,Lead Auditor 8,2024-05-24,2024-05-27,3.5,Unsatisfactory,5,0,2,3,0,Closed,2024-06-10,2024-06-26
AUD-0043,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Batch Record Review and Document Control,21 CFR 820,Lead Auditor 5,2022-02-13,2022-02-17,4.7,Satisfactory,7,0,1,6,0,Closed,2022-03-03,2022-03-19
AUD-0044,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Supplier Management and QC Laboratory,EU GMP,Lead Auditor 7,2022-02-25,2022-03-01,4.8,Satisfactory,9,0,4,5,0,Closed,2022-03-15,2022-03-31
AUD-0045,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Change Control and Environmental Monitoring,EU GMP,Lead Auditor 3,2022-03-28,2022-04-01,5.0,Acceptable,10,0,1,5,4,Closed,2022-04-15,2022-05-01
AUD-0046,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Computer Systems Validation and Change Control,21 CFR 820,Lead Auditor 9,2022-11-01,2022-11-05,4.4,Acceptable,8,0,2,4,2,Closed,2022-11-19,2022-12-05
AUD-0047,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering CAPA System and Environmental Monitoring,ISO 9001,Lead Auditor 10,2023-02-08,2023-02-12,4.4,Satisfactory,12,0,4,4,4,Closed,2023-02-26,2023-03-14
AUD-0048,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Change Control and Manufacturing,21 CFR 820,Lead Auditor 6,2023-10-01,2023-10-03,2.8,Satisfactory,10,0,4,2,4,Closed,2023-10-17,2023-11-02
AUD-0049,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Change Control and Batch Record Review,ICH Q10,Lead Auditor 7,2023-08-03,2023-08-06,3.6,Satisfactory,3,0,1,2,0,Closed,2023-08-20,2023-09-05
AUD-0050,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Environmental Monitoring and Manufacturing,EU GMP,Lead Auditor 5,2024-08-26,2024-08-29,3.4,Acceptable,7,0,3,4,0,Closed,2024-09-12,2024-09-28
AUD-0051,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Manufacturing and Supplier Management,ICH Q10,Lead Auditor 7,2024-10-05,2024-10-06,1.8,Satisfactory,10,0,4,6,0,Response Pending,2024-10-20,2024-11-05
AUD-0052,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Batch Record Review and Manufacturing,ICH Q10,Lead Auditor 2,2024-09-10,2024-09-13,3.6,Satisfactory,6,0,2,4,0,Closed,2024-09-27,2024-10-13
AUD-0053,Internal,Internal QA,SITE-AP-01,,GMP compliance audit covering Computer Systems Validation and Document Control,21 CFR 820,Lead Auditor 4,2024-03-12,2024-03-13,1.9,Acceptable,11,0,3,2,6,Closed,2024-03-27,2024-04-12
