capa_id,site_id,department_id,source_type,source_reference_id,severity,root_cause_category,root_cause_detail,description,initiated_by,owner_employee_id,initiation_date,target_close_date,actual_close_date,status,effectiveness_check_req,effectiveness_check_date,effectiveness_check_result,reopen_count,regulatory_notif_required
CAPA-0161,SITE-EU-02,32,Self-Identified,,Critical,Material,Root cause identified as material deficiency in Regulatory,CAPA initiated for critical quality event at Frankfurt QC Laboratory,Quality System,293,2022-05-08,2022-06-07,,Overdue,True,,,0,False
CAPA-0162,SITE-EU-02,32,Self-Identified,,Major,Training,Root cause identified as training deficiency in QA,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,303,2022-01-08,2022-03-09,2022-01-30,Closed,True,2022-04-30,Pass,0,False
CAPA-0163,SITE-EU-02,29,Audit,,Minor,System,Root cause identified as system deficiency in Regulatory,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,306,2022-11-28,2023-02-26,,Overdue,False,,,0,False
CAPA-0164,SITE-EU-02,31,Self-Identified,,Minor,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,313,2024-12-29,2025-03-29,2025-02-27,Closed,False,,,1,False
CAPA-0165,SITE-EU-02,35,Audit,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,288,2024-02-29,2024-05-29,,Overdue,False,,,0,False
CAPA-0166,SITE-EU-02,29,Audit,,Major,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,290,2024-04-04,2024-06-03,2024-06-25,Closed,True,2024-09-23,Pass,0,False
CAPA-0167,SITE-EU-02,32,Complaint,,Major,System,Root cause identified as system deficiency in Manufacturing,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,310,2022-11-18,2023-01-17,2022-11-29,Closed,True,2023-02-27,Pass,0,False
CAPA-0168,SITE-EU-02,36,Inspection,,Minor,Procedure,Root cause identified as procedure deficiency in QA,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,283,2022-05-10,2022-08-08,2022-05-17,Closed,False,,,1,False
CAPA-0169,SITE-EU-02,30,Complaint,,Minor,Training,Root cause identified as training deficiency in Manufacturing,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,285,2024-05-15,2024-08-13,2024-06-10,Closed,False,,,1,False
CAPA-0170,SITE-EU-02,34,Self-Identified,,Minor,Human Error,Root cause identified as human error deficiency in Regulatory,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,318,2022-09-18,2022-12-17,2022-11-20,Closed,False,,,0,False
CAPA-0171,SITE-EU-02,31,Inspection,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,304,2024-12-28,2025-03-28,2025-03-06,Closed,False,,,0,False
CAPA-0172,SITE-EU-02,30,Deviation,,Minor,System,Root cause identified as system deficiency in QC,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,309,2024-03-28,2024-06-26,,Overdue,False,,,0,False
CAPA-0173,SITE-EU-02,33,Inspection,,Major,Procedure,Root cause identified as procedure deficiency in QA,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,309,2023-02-23,2023-04-24,2023-03-10,Closed,True,2023-06-08,Pass,0,False
CAPA-0174,SITE-EU-02,35,Inspection,,Minor,Equipment,Root cause identified as equipment deficiency in QC,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,285,2022-10-07,2023-01-05,2022-12-31,Closed,False,,,0,False
CAPA-0175,SITE-EU-02,33,Inspection,,Minor,Equipment,Root cause identified as equipment deficiency in QC,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,316,2024-06-15,2024-09-13,2024-09-18,Closed,False,,,0,False
CAPA-0176,SITE-EU-02,32,Self-Identified,,Minor,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,288,2023-12-22,2024-03-21,,Overdue,False,,,0,False
CAPA-0177,SITE-EU-02,30,Inspection,,Minor,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,318,2024-04-21,2024-07-20,2024-07-15,Closed,False,,,0,False
CAPA-0178,SITE-EU-02,35,Audit,,Critical,Training,Root cause identified as training deficiency in QC,CAPA initiated for critical quality event at Frankfurt QC Laboratory,Quality System,291,2024-12-29,2025-01-28,2025-02-21,Closed,True,2025-05-22,Pass,0,False
CAPA-0179,SITE-EU-02,29,Audit,,Major,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,298,2022-03-06,2022-05-05,2022-04-05,Closed,True,2022-07-04,Pass,0,False
CAPA-0180,SITE-EU-02,32,Audit,,Major,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,311,2023-06-02,2023-08-01,2023-08-23,Closed,True,2023-11-21,Pass,0,False
CAPA-0181,SITE-EU-02,32,Audit,,Minor,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,309,2023-05-01,2023-07-30,2023-05-19,Closed,False,,,0,False
CAPA-0182,SITE-EU-02,35,Audit,,Minor,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,294,2024-01-29,2024-04-28,2024-05-24,Closed,False,,,0,False
CAPA-0183,SITE-EU-02,33,Self-Identified,,Minor,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,309,2022-02-05,2022-05-06,,Overdue,False,,,0,False
CAPA-0184,SITE-EU-02,30,Self-Identified,,Major,Human Error,Root cause identified as human error deficiency in Regulatory,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,291,2023-08-26,2023-10-25,2023-09-30,Closed,True,2023-12-29,Pass,1,False
CAPA-0185,SITE-EU-02,32,Complaint,,Critical,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for critical quality event at Frankfurt QC Laboratory,Quality System,300,2022-03-13,2022-04-12,2022-04-28,Closed,True,2022-07-27,Pending,0,True
CAPA-0186,SITE-EU-02,34,Deviation,,Major,Equipment,Root cause identified as equipment deficiency in QC,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,283,2022-03-30,2022-05-29,2022-05-01,Closed,True,2022-07-30,Pass,1,False
CAPA-0187,SITE-EU-02,36,Deviation,,Major,System,Root cause identified as system deficiency in QC,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,308,2022-09-16,2022-11-15,,Overdue,True,,,0,False
CAPA-0188,SITE-EU-02,32,Deviation,,Major,Training,Root cause identified as training deficiency in QC,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,309,2023-01-01,2023-03-02,,Overdue,True,,,0,False
CAPA-0189,SITE-EU-02,34,Complaint,,Major,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,319,2022-03-02,2022-05-01,2022-03-26,Closed,True,2022-06-24,Pass,0,False
CAPA-0190,SITE-EU-02,29,Inspection,,Critical,Training,Root cause identified as training deficiency in QA,CAPA initiated for critical quality event at Frankfurt QC Laboratory,Quality System,289,2022-12-16,2023-01-15,,Overdue,True,,,0,True
CAPA-0191,SITE-EU-02,35,Deviation,,Major,Training,Root cause identified as training deficiency in Manufacturing,CAPA initiated for major quality event at Frankfurt QC Laboratory,Quality System,286,2023-12-14,2024-02-12,2024-01-26,Closed,True,2024-04-25,Pending,0,False
CAPA-0192,SITE-EU-02,31,Inspection,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Frankfurt QC Laboratory,Quality System,291,2022-05-20,2022-08-18,,Overdue,False,,,0,False
CAPA-0193,SITE-AP-01,42,Self-Identified,,Minor,Equipment,Root cause identified as equipment deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,342,2023-07-09,2023-10-07,2023-08-27,Closed,False,,,0,False
CAPA-0194,SITE-AP-01,38,Inspection,,Minor,Training,Root cause identified as training deficiency in QA,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,385,2023-01-06,2023-04-06,2023-02-24,Closed,False,,,1,False
CAPA-0195,SITE-AP-01,37,Complaint,,Minor,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,397,2023-11-03,2024-02-01,2023-11-15,Closed,False,,,0,False
CAPA-0196,SITE-AP-01,42,Deviation,,Major,Material,Root cause identified as material deficiency in QC,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,377,2022-07-09,2022-09-07,2022-07-28,Closed,True,2022-10-26,Fail,0,False
CAPA-0197,SITE-AP-01,41,Self-Identified,,Major,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,346,2023-08-29,2023-10-28,,Overdue,True,,,0,False
CAPA-0198,SITE-AP-01,44,Self-Identified,,Major,Training,Root cause identified as training deficiency in QA,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,349,2023-06-17,2023-08-16,,Overdue,True,,,0,False
CAPA-0199,SITE-AP-01,45,Self-Identified,,Major,Training,Root cause identified as training deficiency in Manufacturing,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,375,2023-02-04,2023-04-05,2023-05-05,Closed,True,2023-08-03,Pending,0,False
CAPA-0200,SITE-AP-01,44,Self-Identified,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,346,2024-11-16,2025-02-14,2025-01-31,Closed,False,,,0,False
CAPA-0201,SITE-AP-01,44,Complaint,,Major,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,362,2022-01-20,2022-03-21,2022-03-09,Closed,True,2022-06-07,Fail,0,False
CAPA-0202,SITE-AP-01,38,Complaint,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,408,2023-03-12,2023-06-10,2023-05-21,Closed,False,,,0,False
CAPA-0203,SITE-AP-01,43,Deviation,,Major,Material,Root cause identified as material deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,396,2024-09-06,2024-11-05,2024-09-16,Closed,True,2024-12-15,Pending,0,False
CAPA-0204,SITE-AP-01,41,Inspection,,Major,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,354,2023-09-28,2023-11-27,,Overdue,True,,,0,False
CAPA-0205,SITE-AP-01,45,Self-Identified,,Critical,System,Root cause identified as system deficiency in QC,CAPA initiated for critical quality event at Hyderabad API Manufacturing,Quality System,382,2023-12-01,2023-12-31,2023-12-06,Closed,True,2024-03-05,Pass,0,True
CAPA-0206,SITE-AP-01,43,Self-Identified,,Minor,Material,Root cause identified as material deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,436,2023-04-25,2023-07-24,2023-05-12,Closed,False,,,0,False
CAPA-0207,SITE-AP-01,46,Inspection,,Major,Material,Root cause identified as material deficiency in QC,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,377,2023-08-12,2023-10-11,2023-09-18,Closed,True,2023-12-17,Pass,0,False
CAPA-0208,SITE-AP-01,42,Self-Identified,,Minor,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,387,2024-01-30,2024-04-29,,Overdue,False,,,0,False
CAPA-0209,SITE-AP-01,45,Self-Identified,,Minor,Material,Root cause identified as material deficiency in QA,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,425,2022-08-16,2022-11-14,2022-12-03,Closed,False,,,0,False
CAPA-0210,SITE-AP-01,42,Self-Identified,,Major,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,438,2022-10-09,2022-12-08,2022-11-11,Closed,True,2023-02-09,Pending,0,False
CAPA-0211,SITE-AP-01,44,Deviation,,Minor,Material,Root cause identified as material deficiency in Regulatory,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,387,2023-11-05,2024-02-03,,Overdue,False,,,0,False
CAPA-0212,SITE-AP-01,43,Self-Identified,,Critical,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for critical quality event at Hyderabad API Manufacturing,Quality System,420,2022-08-03,2022-09-02,2022-08-14,Closed,True,2022-11-12,Pass,0,True
CAPA-0213,SITE-AP-01,37,Self-Identified,,Minor,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,427,2024-10-03,2025-01-01,2024-11-20,Closed,False,,,1,False
CAPA-0214,SITE-AP-01,43,Self-Identified,,Major,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,349,2022-08-04,2022-10-03,2022-08-18,Closed,True,2022-11-16,Fail,0,False
CAPA-0215,SITE-AP-01,37,Inspection,,Critical,Procedure,Root cause identified as procedure deficiency in QA,CAPA initiated for critical quality event at Hyderabad API Manufacturing,Quality System,419,2024-02-05,2024-03-06,,Overdue,True,,,0,False
CAPA-0216,SITE-AP-01,46,Audit,,Major,Training,Root cause identified as training deficiency in QA,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,352,2023-10-15,2023-12-14,2024-01-11,Closed,True,2024-04-10,Pending,0,False
CAPA-0217,SITE-AP-01,38,Deviation,,Major,System,Root cause identified as system deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,326,2024-12-26,2025-02-24,2025-01-08,Closed,True,2025-04-08,Pass,0,False
CAPA-0218,SITE-AP-01,42,Audit,,Major,Material,Root cause identified as material deficiency in Manufacturing,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,359,2024-12-23,2025-02-21,2025-03-14,Closed,True,2025-06-12,Pass,0,False
CAPA-0219,SITE-AP-01,40,Inspection,,Major,Material,Root cause identified as material deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,338,2024-08-02,2024-10-01,2024-09-20,Closed,True,2024-12-19,Pending,0,False
CAPA-0220,SITE-AP-01,40,Self-Identified,,Major,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,411,2022-06-11,2022-08-10,2022-07-11,Closed,True,2022-10-09,Pass,0,False
CAPA-0221,SITE-AP-01,43,Audit,,Minor,Communication,Root cause identified as communication deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,402,2023-11-15,2024-02-13,,Overdue,False,,,0,False
CAPA-0222,SITE-AP-01,44,Self-Identified,,Minor,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,366,2023-08-21,2023-11-19,2023-10-14,Closed,False,,,0,False
CAPA-0223,SITE-AP-01,37,Deviation,,Minor,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,381,2023-12-12,2024-03-11,2024-01-17,Closed,False,,,0,False
CAPA-0224,SITE-AP-01,43,Inspection,,Major,Procedure,Root cause identified as procedure deficiency in QA,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,364,2024-09-22,2024-11-21,2024-11-04,Closed,True,2025-02-02,Pending,0,False
CAPA-0225,SITE-AP-01,43,Audit,,Major,Training,Root cause identified as training deficiency in QA,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,435,2023-08-28,2023-10-27,2023-09-18,Closed,True,2023-12-17,Pass,0,False
CAPA-0226,SITE-AP-01,41,Inspection,,Minor,Equipment,Root cause identified as equipment deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,326,2024-08-03,2024-11-01,2024-09-19,Closed,False,,,0,False
CAPA-0227,SITE-AP-01,40,Audit,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,339,2024-02-04,2024-05-04,2024-04-18,Closed,False,,,0,False
CAPA-0228,SITE-AP-01,41,Complaint,,Major,Human Error,Root cause identified as human error deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,335,2024-09-23,2024-11-22,2024-10-30,Closed,True,2025-01-28,Pass,0,False
CAPA-0229,SITE-AP-01,46,Audit,,Minor,Human Error,Root cause identified as human error deficiency in Regulatory,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,384,2023-04-16,2023-07-15,,Overdue,False,,,0,False
CAPA-0230,SITE-AP-01,37,Self-Identified,,Major,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,343,2024-04-03,2024-06-02,,Overdue,True,,,1,False
CAPA-0231,SITE-AP-01,41,Complaint,,Minor,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,335,2024-11-01,2025-01-30,,Overdue,False,,,0,False
CAPA-0232,SITE-AP-01,39,Inspection,,Minor,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,379,2023-05-01,2023-07-30,,Overdue,False,,,1,False
CAPA-0233,SITE-AP-01,38,Inspection,,Minor,Communication,Root cause identified as communication deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,420,2023-06-29,2023-09-27,2023-09-12,Closed,False,,,2,False
CAPA-0234,SITE-AP-01,38,Self-Identified,,Major,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,347,2022-03-13,2022-05-12,,Overdue,True,,,0,False
CAPA-0235,SITE-AP-01,41,Inspection,,Major,Material,Root cause identified as material deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,322,2024-08-20,2024-10-19,2024-09-08,Closed,True,2024-12-07,Fail,0,False
CAPA-0236,SITE-AP-01,45,Inspection,,Major,Human Error,Root cause identified as human error deficiency in QA,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,344,2022-07-13,2022-09-11,2022-09-19,Closed,True,2022-12-18,Pass,0,False
CAPA-0237,SITE-AP-01,39,Deviation,,Major,Human Error,Root cause identified as human error deficiency in QA,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,399,2024-03-21,2024-05-20,2024-03-28,Closed,True,2024-06-26,Pass,0,False
CAPA-0238,SITE-AP-01,44,Self-Identified,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Hyderabad API Manufacturing,Quality System,333,2023-12-31,2024-03-30,2024-02-09,Closed,False,,,0,False
CAPA-0239,SITE-AP-01,44,Self-Identified,,Major,System,Root cause identified as system deficiency in QC,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,333,2023-03-17,2023-05-16,2023-04-26,Closed,True,2023-07-25,Pending,0,False
CAPA-0240,SITE-AP-01,44,Deviation,,Major,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for major quality event at Hyderabad API Manufacturing,Quality System,353,2022-10-23,2022-12-22,2022-10-29,Closed,True,2023-01-27,Fail,0,False
