deviation_id,site_id,department_id,batch_id,product_id,deviation_category,deviation_type,severity,description,detected_by,detection_date,manufacturing_area,equipment_id,shift,gmp_classification,investigation_required,investigation_close_dt,root_cause_category,root_cause_description,capa_id,batch_disposition_impact,status
DEV-0001,SITE-US-01,3,BATCH-01562,5,Process,Unplanned,Major,Major process deviation detected during routine operation,107,2023-02-24,Fill & Finish,,Day,GMP,True,2023-03-07,Training,Investigation identified procedural gap,,Hold,Closed
DEV-0002,SITE-US-01,8,BATCH-01355,1,Process,Unplanned,Major,Major process deviation detected during routine operation,52,2022-03-14,Warehouse,,Evening,GMP,True,2022-03-29,Training,Investigation identified procedural gap,CAPA-0098,None,Closed
DEV-0003,SITE-US-01,3,BATCH-00719,2,Process,Unplanned,Critical,Critical process deviation detected during routine operation,26,2022-03-13,Packaging Line 2,,Night,GMP,True,2022-04-24,Training,Investigation identified procedural gap,CAPA-0206,Reject,Open
DEV-0004,SITE-US-01,2,BATCH-00186,8,Process,Unplanned,Minor,Minor process deviation detected during routine operation,43,2024-08-10,Cleanroom B,,Night,GMP,False,,Training,Investigation identified procedural gap,,None,Under Investigation
DEV-0005,SITE-US-01,8,BATCH-00105,3,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,14,2023-03-19,Fill & Finish,,Evening,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0006,SITE-US-01,3,BATCH-00429,2,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,106,2024-11-09,QC Laboratory,,Day,GMP,False,,Human Error,Investigation identified procedural gap,,None,Open
DEV-0007,SITE-US-01,2,,3,Analytical,Unplanned,Minor,Minor analytical deviation detected during routine operation,9,2024-04-14,Warehouse,,Night,GMP,False,,Equipment,Investigation identified procedural gap,,None,Open
DEV-0008,SITE-US-01,3,,4,Analytical,Unplanned,Minor,Minor analytical deviation detected during routine operation,38,2023-05-17,Coating Suite,,Day,GMP,False,,Training,Investigation identified procedural gap,,None,Under Investigation
DEV-0009,SITE-US-01,1,BATCH-01843,5,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,106,2022-02-01,Warehouse,,Evening,GMP,True,2022-03-08,Human Error,Investigation identified procedural gap,CAPA-0022,None,Under Investigation
DEV-0010,SITE-US-01,8,BATCH-01056,7,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,60,2022-02-16,Cleanroom B,,Night,GMP,True,2022-03-28,Training,Investigation identified procedural gap,CAPA-0058,Conditional Release,Closed
DEV-0011,SITE-US-01,6,,6,Environmental,Unplanned,Minor,Minor environmental deviation detected during routine operation,5,2023-07-08,Coating Suite,,Day,GMP,False,,Equipment,Investigation identified procedural gap,,None,Closed
DEV-0012,SITE-US-01,2,,3,Personnel,Unplanned,Minor,Minor personnel deviation detected during routine operation,70,2023-10-17,Packaging Line 2,,Night,GMP,False,,Material,Investigation identified procedural gap,,None,Under Investigation
DEV-0013,SITE-US-01,7,BATCH-01613,3,Process,Unplanned,Minor,Minor process deviation detected during routine operation,49,2023-06-07,Granulation Suite,,Night,GMP,False,,Equipment,Investigation identified procedural gap,,None,Open
DEV-0014,SITE-US-01,9,BATCH-01369,2,Equipment,Planned,Minor,Minor equipment deviation detected during routine operation,15,2023-10-01,Cleanroom B,,Day,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0015,SITE-US-01,10,BATCH-01231,4,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,94,2022-06-25,Coating Suite,,Night,GMP,False,,Material,Investigation identified procedural gap,,None,Closed
DEV-0016,SITE-US-01,8,BATCH-00806,1,Process,Unplanned,Minor,Minor process deviation detected during routine operation,16,2023-07-25,Fill & Finish,,Evening,GMP,False,,Equipment,Investigation identified procedural gap,,None,Open
DEV-0017,SITE-US-01,3,BATCH-00035,2,Equipment,Planned,Minor,Minor equipment deviation detected during routine operation,26,2023-07-16,Warehouse,,Evening,GMP,False,,Material,Investigation identified procedural gap,,None,Closed
DEV-0018,SITE-US-01,4,BATCH-00648,1,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,3,2024-01-06,Cleanroom A,,Evening,GMP,False,,Training,Investigation identified procedural gap,,None,Open
DEV-0019,SITE-US-01,10,,1,Personnel,Unplanned,Minor,Minor personnel deviation detected during routine operation,67,2024-04-05,Cleanroom B,,Evening,GMP,False,,Equipment,Investigation identified procedural gap,,None,Closed
DEV-0020,SITE-US-01,7,BATCH-00011,3,Process,Unplanned,Major,Major process deviation detected during routine operation,18,2022-09-06,Warehouse,,Day,GMP,True,2022-10-10,Material,Investigation identified procedural gap,CAPA-0220,Hold,Under Investigation
DEV-0021,SITE-EU-01,27,,7,Material,Unplanned,Critical,Critical material deviation detected during routine operation,194,2024-03-06,Packaging Line 2,,Day,GMP,True,2024-03-14,Training,Investigation identified procedural gap,CAPA-0140,Hold,Open
DEV-0022,SITE-EU-01,26,BATCH-00312,2,Equipment,Planned,Major,Major equipment deviation detected during routine operation,227,2023-03-25,Compression Suite,,Day,GMP,True,2023-05-07,Equipment,Investigation identified procedural gap,,None,Open
DEV-0023,SITE-EU-01,19,BATCH-01826,4,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,264,2023-06-15,Granulation Suite,,Day,GMP,True,2023-07-03,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0024,SITE-EU-01,25,BATCH-01039,5,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,274,2023-07-23,QC Laboratory,,Night,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0025,SITE-EU-01,21,,2,Personnel,Unplanned,Major,Major personnel deviation detected during routine operation,180,2022-04-20,Coating Suite,,Evening,GMP,True,2022-05-27,Procedure,Investigation identified procedural gap,CAPA-0165,Hold,Open
DEV-0026,SITE-EU-01,20,,8,Environmental,Unplanned,Major,Major environmental deviation detected during routine operation,202,2022-01-03,Coating Suite,,Day,GMP,True,2022-01-30,System,Investigation identified procedural gap,CAPA-0136,None,Closed
DEV-0027,SITE-EU-01,23,,2,Analytical,Unplanned,Major,Major analytical deviation detected during routine operation,173,2024-04-22,Cleanroom A,,Night,GMP,True,2024-06-01,Material,Investigation identified procedural gap,CAPA-0117,None,Closed
DEV-0028,SITE-EU-01,21,,6,Analytical,Unplanned,Minor,Minor analytical deviation detected during routine operation,163,2022-08-26,QC Laboratory,,Evening,GMP,False,,Human Error,Investigation identified procedural gap,,None,Closed
DEV-0029,SITE-EU-01,19,,1,Personnel,Unplanned,Major,Major personnel deviation detected during routine operation,232,2022-03-06,Fill & Finish,,Evening,GMP,True,2022-04-09,Training,Investigation identified procedural gap,CAPA-0068,None,Closed
DEV-0030,SITE-EU-01,20,,6,Analytical,Unplanned,Major,Major analytical deviation detected during routine operation,164,2022-12-26,QC Laboratory,,Night,GMP,True,2023-01-23,Training,Investigation identified procedural gap,,Hold,Under Investigation
DEV-0031,SITE-EU-01,23,BATCH-00849,7,Process,Unplanned,Minor,Minor process deviation detected during routine operation,273,2024-06-10,QC Laboratory,,Evening,GMP,False,,Human Error,Investigation identified procedural gap,,None,Under Investigation
DEV-0032,SITE-EU-01,23,,7,Environmental,Unplanned,Minor,Minor environmental deviation detected during routine operation,164,2024-05-08,Compression Suite,,Evening,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0033,SITE-EU-01,22,,5,Material,Unplanned,Minor,Minor material deviation detected during routine operation,180,2024-01-20,QC Laboratory,,Day,GMP,False,,Equipment,Investigation identified procedural gap,,None,Under Investigation
DEV-0034,SITE-EU-01,21,BATCH-00560,6,Process,Unplanned,Minor,Minor process deviation detected during routine operation,256,2022-06-20,Coating Suite,,Night,GMP,False,,System,Investigation identified procedural gap,,None,Closed
DEV-0035,SITE-EU-01,25,BATCH-01240,7,Equipment,Planned,Minor,Minor equipment deviation detected during routine operation,280,2024-03-18,Packaging Line 2,,Night,GMP,False,,Human Error,Investigation identified procedural gap,,None,Open
DEV-0036,SITE-EU-01,26,,7,Personnel,Planned,Minor,Minor personnel deviation detected during routine operation,217,2022-06-06,Cleanroom A,,Night,GMP,False,,Procedure,Investigation identified procedural gap,,None,Open
DEV-0037,SITE-EU-01,28,BATCH-00525,1,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,207,2024-08-27,Granulation Suite,,Day,GMP,False,,Communication,Investigation identified procedural gap,,None,Closed
DEV-0038,SITE-EU-01,24,,5,Personnel,Unplanned,Major,Major personnel deviation detected during routine operation,200,2024-11-11,Granulation Suite,,Day,GMP,True,2024-12-12,Human Error,Investigation identified procedural gap,,None,Under Investigation
DEV-0039,SITE-EU-01,23,BATCH-01351,6,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,193,2022-11-09,Cleanroom B,,Evening,GMP,False,,Training,Investigation identified procedural gap,,None,Under Investigation
DEV-0040,SITE-EU-01,20,,2,Personnel,Unplanned,Minor,Minor personnel deviation detected during routine operation,251,2023-07-21,Cleanroom B,,Day,GMP,False,,Training,Investigation identified procedural gap,,None,Closed
DEV-0041,SITE-AP-01,40,BATCH-00942,6,Process,Unplanned,Minor,Minor process deviation detected during routine operation,421,2022-01-06,QC Laboratory,,Evening,GMP,False,,Human Error,Investigation identified procedural gap,,None,Closed
DEV-0042,SITE-AP-01,45,BATCH-01263,1,Process,Planned,Minor,Minor process deviation detected during routine operation,372,2022-05-13,QC Laboratory,,Night,GMP,False,,Training,Investigation identified procedural gap,,None,Closed
DEV-0043,SITE-AP-01,42,BATCH-00466,5,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,416,2022-07-26,QC Laboratory,,Day,GMP,False,,Material,Investigation identified procedural gap,,None,Closed
DEV-0044,SITE-AP-01,40,BATCH-00957,8,Process,Unplanned,Major,Major process deviation detected during routine operation,412,2022-03-02,Cleanroom A,,Day,GMP,True,2022-03-10,Training,Investigation identified procedural gap,CAPA-0136,None,Closed
DEV-0045,SITE-AP-01,38,BATCH-01725,2,Process,Unplanned,Major,Major process deviation detected during routine operation,325,2023-02-17,Granulation Suite,,Day,GMP,True,2023-03-24,Material,Investigation identified procedural gap,CAPA-0234,Conditional Release,Closed
DEV-0046,SITE-AP-01,46,BATCH-00298,8,Process,Unplanned,Minor,Minor process deviation detected during routine operation,392,2022-08-08,Packaging Line 2,,Day,GMP,False,,Material,Investigation identified procedural gap,,None,Under Investigation
DEV-0047,SITE-AP-01,46,,1,Analytical,Unplanned,Minor,Minor analytical deviation detected during routine operation,354,2022-11-15,Compression Suite,,Evening,GMP,False,,Procedure,Investigation identified procedural gap,,None,Under Investigation
DEV-0048,SITE-AP-01,42,BATCH-00343,3,Process,Unplanned,Major,Major process deviation detected during routine operation,323,2024-12-08,Warehouse,,Night,GMP,True,2025-01-17,Equipment,Investigation identified procedural gap,CAPA-0113,None,Under Investigation
DEV-0049,SITE-AP-01,37,BATCH-01738,4,Process,Unplanned,Minor,Minor process deviation detected during routine operation,374,2024-12-06,Compression Suite,,Day,GMP,False,,Equipment,Investigation identified procedural gap,,None,Closed
DEV-0050,SITE-AP-01,46,BATCH-00588,7,Equipment,Unplanned,Minor,Minor equipment deviation detected during routine operation,383,2024-08-20,Compression Suite,,Evening,GMP,False,,Equipment,Investigation identified procedural gap,,None,Closed
DEV-0051,SITE-AP-01,37,BATCH-00305,3,Process,Unplanned,Minor,Minor process deviation detected during routine operation,391,2022-03-24,Granulation Suite,,Evening,GMP,False,,Material,Investigation identified procedural gap,,None,Open
DEV-0052,SITE-AP-01,41,,4,Analytical,Unplanned,Major,Major analytical deviation detected during routine operation,338,2023-12-22,Fill & Finish,,Night,GMP,True,2024-01-07,Training,Investigation identified procedural gap,CAPA-0066,Hold,Closed
DEV-0053,SITE-AP-01,43,,7,Material,Unplanned,Minor,Minor material deviation detected during routine operation,429,2024-03-11,Warehouse,,Day,GMP,False,,System,Investigation identified procedural gap,,None,Closed
DEV-0054,SITE-AP-01,42,,2,Personnel,Unplanned,Minor,Minor personnel deviation detected during routine operation,409,2024-03-07,Compression Suite,,Day,GMP,False,,Human Error,Investigation identified procedural gap,,None,Open
DEV-0055,SITE-AP-01,43,BATCH-01215,2,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,439,2022-10-18,Granulation Suite,,Day,GMP,True,2022-11-15,Training,Investigation identified procedural gap,,Hold,Open
DEV-0056,SITE-AP-01,39,BATCH-00323,5,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,358,2022-11-17,Cleanroom A,,Day,GMP,True,2022-11-23,Training,Investigation identified procedural gap,CAPA-0222,None,Closed
DEV-0057,SITE-AP-01,37,,6,Material,Planned,Minor,Minor material deviation detected during routine operation,326,2024-05-20,Coating Suite,,Day,GMP,False,,Human Error,Investigation identified procedural gap,,None,Under Investigation
DEV-0058,SITE-AP-01,45,,7,Material,Unplanned,Minor,Minor material deviation detected during routine operation,372,2024-09-02,Fill & Finish,,Day,GMP,False,,Human Error,Investigation identified procedural gap,,None,Open
DEV-0059,SITE-AP-01,41,BATCH-00004,8,Equipment,Unplanned,Major,Major equipment deviation detected during routine operation,419,2023-04-22,Coating Suite,,Day,GMP,True,2023-06-03,Material,Investigation identified procedural gap,CAPA-0210,None,Closed
DEV-0060,SITE-AP-01,38,,3,Personnel,Unplanned,Minor,Minor personnel deviation detected during routine operation,330,2023-10-18,Warehouse,,Night,GMP,False,,Procedure,Investigation identified procedural gap,,None,Closed
DEV-0061,SITE-AP-01,43,BATCH-01476,1,Process,Unplanned,Major,Major process deviation detected during routine operation,424,2022-10-02,Cleanroom B,,Day,GMP,True,2022-10-21,Material,Investigation identified procedural gap,CAPA-0093,None,Closed
