risk_id,risk_title,risk_description,risk_category,business_process,product_id,site_id,risk_owner_id,initial_severity,initial_occurrence,initial_detectability,initial_rpn,risk_controls,residual_severity,residual_occurrence,residual_detectability,residual_rpn,risk_acceptance_status,last_review_date,next_review_date,status,icq9_tool_used,linked_capa_id
RISK-0001,Risk: Change Control failure at SITE-US-01,Potential failure in Cold Chain Distribution affecting product quality,Regulatory,Environmental Control,7,SITE-US-01,95,4,6,3,72,Control measures implemented per ICH Q9,1,4,1,4,Acceptable,2024-02-17,2024-08-15,Active,FMEA,
RISK-0002,Risk: Packaging failure at SITE-EU-02,Potential failure in Cold Chain Distribution affecting product quality,Process,API Synthesis,8,SITE-EU-02,320,6,8,8,384,Control measures implemented per ICH Q9,6,8,5,240,Unacceptable,2022-03-15,2022-09-11,Active,FMEA,
RISK-0003,Risk: Packaging failure at SITE-EU-02,Potential failure in Cold Chain Distribution affecting product quality,IT/Data Integrity,Supplier Management,2,SITE-EU-02,297,3,6,8,144,Control measures implemented per ICH Q9,3,6,8,144,ALARP,2022-06-22,2022-12-19,Active,FMEA,
RISK-0004,Risk: API Synthesis failure at SITE-US-01,Potential failure in Tablet Compression affecting product quality,Product Quality,Environmental Control,6,SITE-US-01,46,9,3,4,108,Control measures implemented per ICH Q9,7,3,4,84,Acceptable,2024-01-12,2024-07-10,Active,FTA,
RISK-0005,Risk: API Synthesis failure at SITE-US-01,Potential failure in Environmental Control affecting product quality,Product Quality,Packaging,1,SITE-US-01,33,4,9,4,144,Control measures implemented per ICH Q9,1,6,3,18,Acceptable,2023-11-14,2024-05-12,Active,FMEA,
RISK-0006,Risk: Cold Chain Distribution failure at SITE-EU-02,Potential failure in Aseptic Fill affecting product quality,Regulatory,Tablet Compression,7,SITE-EU-02,290,10,6,7,420,Control measures implemented per ICH Q9,7,6,6,252,Unacceptable,2024-03-25,2024-09-21,Active,PHA,CAPA-0052
RISK-0007,Risk: Packaging failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,Supply Chain,Computer Systems,7,SITE-US-01,99,4,9,8,288,Control measures implemented per ICH Q9,2,5,5,50,Acceptable,2024-06-23,2024-12-20,Closed,HACCP,
RISK-0008,Risk: Aseptic Fill failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,Product Quality,Tablet Compression,4,SITE-US-01,38,3,2,8,48,Control measures implemented per ICH Q9,1,1,8,8,Acceptable,2022-01-31,2022-07-30,Active,FMEA,
RISK-0009,Risk: Analytical Testing failure at SITE-AP-01,Potential failure in Environmental Control affecting product quality,Process,Aseptic Fill,6,SITE-AP-01,360,8,9,7,504,Control measures implemented per ICH Q9,8,9,7,504,Unacceptable,2024-04-11,2024-10-08,Active,FMEA,
RISK-0010,Risk: Cold Chain Distribution failure at SITE-US-01,Potential failure in Change Control affecting product quality,Product Quality,Environmental Control,6,SITE-US-01,38,9,4,8,288,Control measures implemented per ICH Q9,7,1,6,42,Acceptable,2023-08-07,2024-02-03,Closed,FMEA,
RISK-0011,Risk: Environmental Control failure at SITE-US-02,Potential failure in Change Control affecting product quality,Supply Chain,Tablet Compression,4,SITE-US-02,142,3,6,3,54,Control measures implemented per ICH Q9,1,2,1,2,Acceptable,2022-04-18,2022-10-15,Active,HACCP,
RISK-0012,Risk: Environmental Control failure at SITE-US-02,Potential failure in API Synthesis affecting product quality,Supply Chain,Packaging,3,SITE-US-02,154,3,8,4,96,Control measures implemented per ICH Q9,2,6,4,48,Acceptable,2024-05-24,2024-11-20,Active,PHA,
RISK-0013,Risk: Tablet Compression failure at SITE-US-02,Potential failure in Tablet Compression affecting product quality,IT/Data Integrity,Cold Chain Distribution,4,SITE-US-02,128,9,7,3,189,Control measures implemented per ICH Q9,9,5,3,135,ALARP,2024-05-10,2024-11-06,Active,FMEA,CAPA-0097
RISK-0014,Risk: Aseptic Fill failure at SITE-AP-01,Potential failure in Cold Chain Distribution affecting product quality,Process,Tablet Compression,5,SITE-AP-01,407,10,9,8,720,Control measures implemented per ICH Q9,7,6,7,294,Unacceptable,2024-03-22,2024-09-18,Active,FTA,CAPA-0182
RISK-0015,Risk: Cold Chain Distribution failure at SITE-US-02,Potential failure in Computer Systems affecting product quality,Process,Aseptic Fill,5,SITE-US-02,149,9,4,8,288,Control measures implemented per ICH Q9,7,1,7,49,Acceptable,2022-03-29,2022-09-25,Active,HACCP,
RISK-0016,Risk: Computer Systems failure at SITE-EU-01,Potential failure in Packaging affecting product quality,Product Quality,Environmental Control,7,SITE-EU-01,239,5,6,6,180,Control measures implemented per ICH Q9,5,4,3,60,Acceptable,2022-05-16,2022-11-12,Active,FMEA,
RISK-0017,Risk: Packaging failure at SITE-US-02,Potential failure in Supplier Management affecting product quality,Supply Chain,Cold Chain Distribution,2,SITE-US-02,157,4,7,3,84,Control measures implemented per ICH Q9,4,4,3,48,Acceptable,2022-04-15,2022-10-12,Active,PHA,
RISK-0018,Risk: Aseptic Fill failure at SITE-US-02,Potential failure in Supplier Management affecting product quality,Supply Chain,Analytical Testing,3,SITE-US-02,150,7,8,4,224,Control measures implemented per ICH Q9,6,8,4,192,ALARP,2023-05-20,2023-11-16,Active,FMEA,CAPA-0106
RISK-0019,Risk: Packaging failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,Patient Safety,Computer Systems,5,SITE-US-01,104,8,5,2,80,Control measures implemented per ICH Q9,5,3,1,15,Acceptable,2022-04-08,2022-10-05,Active,PHA,
RISK-0020,Risk: Change Control failure at SITE-EU-01,Potential failure in Tablet Compression affecting product quality,Product Quality,Environmental Control,8,SITE-EU-01,170,3,4,6,72,Control measures implemented per ICH Q9,1,1,3,3,Acceptable,2023-10-05,2024-04-02,Active,HACCP,
RISK-0021,Risk: Packaging failure at SITE-EU-01,Potential failure in Supplier Management affecting product quality,Supply Chain,Tablet Compression,8,SITE-EU-01,243,6,3,6,108,Control measures implemented per ICH Q9,3,2,5,30,Acceptable,2022-06-18,2022-12-15,Active,HACCP,
RISK-0022,Risk: Aseptic Fill failure at SITE-AP-01,Potential failure in Computer Systems affecting product quality,Supply Chain,Computer Systems,3,SITE-AP-01,335,9,5,3,135,Control measures implemented per ICH Q9,7,4,3,84,Acceptable,2022-12-09,2023-06-07,Closed,FTA,
RISK-0023,Risk: Cold Chain Distribution failure at SITE-EU-01,Potential failure in Analytical Testing affecting product quality,Product Quality,Packaging,4,SITE-EU-01,248,5,6,5,150,Control measures implemented per ICH Q9,5,2,5,50,Acceptable,2023-09-13,2024-03-11,Active,FMEA,
RISK-0024,Risk: Environmental Control failure at SITE-US-02,Potential failure in Supplier Management affecting product quality,Patient Safety,API Synthesis,7,SITE-US-02,122,7,4,8,224,Control measures implemented per ICH Q9,5,2,5,50,Acceptable,2023-08-25,2024-02-21,Active,HACCP,
RISK-0025,Risk: Analytical Testing failure at SITE-US-01,Potential failure in API Synthesis affecting product quality,Supply Chain,Tablet Compression,8,SITE-US-01,15,3,9,7,189,Control measures implemented per ICH Q9,2,5,5,50,Acceptable,2023-12-11,2024-06-08,Active,FTA,
RISK-0026,Risk: Packaging failure at SITE-EU-01,Potential failure in Environmental Control affecting product quality,Patient Safety,API Synthesis,8,SITE-EU-01,220,6,6,7,252,Control measures implemented per ICH Q9,5,4,6,120,ALARP,2023-07-27,2024-01-23,Active,FMEA,CAPA-0013
RISK-0027,Risk: Packaging failure at SITE-EU-02,Potential failure in Change Control affecting product quality,Patient Safety,Supplier Management,8,SITE-EU-02,320,7,5,4,140,Control measures implemented per ICH Q9,4,5,1,20,Acceptable,2023-01-24,2023-07-23,Closed,PHA,
RISK-0028,Risk: Tablet Compression failure at SITE-US-02,Potential failure in Change Control affecting product quality,Supply Chain,API Synthesis,1,SITE-US-02,160,9,7,9,567,Control measures implemented per ICH Q9,6,4,6,144,ALARP,2022-09-30,2023-03-29,Active,PHA,
RISK-0029,Risk: Change Control failure at SITE-EU-02,Potential failure in Environmental Control affecting product quality,Regulatory,Cold Chain Distribution,2,SITE-EU-02,300,3,6,8,144,Control measures implemented per ICH Q9,2,5,7,70,Acceptable,2022-08-05,2023-02-01,Active,FTA,
RISK-0030,Risk: Packaging failure at SITE-EU-02,Potential failure in Cold Chain Distribution affecting product quality,Supply Chain,Environmental Control,1,SITE-EU-02,310,6,6,2,72,Control measures implemented per ICH Q9,6,6,1,36,Acceptable,2023-10-31,2024-04-28,Active,FMEA,
RISK-0031,Risk: Tablet Compression failure at SITE-EU-01,Potential failure in Tablet Compression affecting product quality,IT/Data Integrity,API Synthesis,1,SITE-EU-01,272,10,6,5,300,Control measures implemented per ICH Q9,8,2,2,32,Acceptable,2023-12-05,2024-06-02,Active,FMEA,
RISK-0032,Risk: Aseptic Fill failure at SITE-AP-01,Potential failure in Computer Systems affecting product quality,Product Quality,Change Control,8,SITE-AP-01,384,8,2,6,96,Control measures implemented per ICH Q9,7,2,3,42,Acceptable,2022-12-01,2023-05-30,Active,HACCP,
RISK-0033,Risk: Computer Systems failure at SITE-EU-01,Potential failure in Environmental Control affecting product quality,IT/Data Integrity,Analytical Testing,3,SITE-EU-01,170,10,3,5,150,Control measures implemented per ICH Q9,7,3,2,42,Acceptable,2023-01-19,2023-07-18,Active,FMEA,
RISK-0034,Risk: Analytical Testing failure at SITE-US-01,Potential failure in Tablet Compression affecting product quality,Process,Tablet Compression,8,SITE-US-01,107,8,4,6,192,Control measures implemented per ICH Q9,7,1,6,42,Acceptable,2023-07-04,2023-12-31,Active,PHA,
RISK-0035,Risk: Tablet Compression failure at SITE-EU-02,Potential failure in Analytical Testing affecting product quality,Patient Safety,API Synthesis,7,SITE-EU-02,298,10,3,6,180,Control measures implemented per ICH Q9,9,2,3,54,Acceptable,2023-09-01,2024-02-28,Active,FMEA,
RISK-0036,Risk: Computer Systems failure at SITE-AP-01,Potential failure in API Synthesis affecting product quality,Patient Safety,Cold Chain Distribution,8,SITE-AP-01,347,5,9,7,315,Control measures implemented per ICH Q9,3,6,5,90,Acceptable,2022-05-12,2022-11-08,Active,FMEA,
RISK-0037,Risk: Cold Chain Distribution failure at SITE-US-01,Potential failure in Change Control affecting product quality,Regulatory,Aseptic Fill,8,SITE-US-01,29,9,2,5,90,Control measures implemented per ICH Q9,9,1,3,27,Acceptable,2023-06-11,2023-12-08,Active,HACCP,
RISK-0038,Risk: Supplier Management failure at SITE-US-01,Potential failure in Supplier Management affecting product quality,Patient Safety,Packaging,5,SITE-US-01,34,5,2,7,70,Control measures implemented per ICH Q9,5,1,4,20,Acceptable,2023-06-07,2023-12-04,Closed,FMEA,
RISK-0039,Risk: Environmental Control failure at SITE-US-02,Potential failure in Aseptic Fill affecting product quality,IT/Data Integrity,Environmental Control,8,SITE-US-02,143,4,3,3,36,Control measures implemented per ICH Q9,2,3,1,6,Acceptable,2022-04-10,2022-10-07,Active,PHA,
RISK-0040,Risk: Computer Systems failure at SITE-EU-01,Potential failure in Environmental Control affecting product quality,Supply Chain,Cold Chain Distribution,7,SITE-EU-01,188,6,4,8,192,Control measures implemented per ICH Q9,3,4,6,72,Acceptable,2024-02-02,2024-07-31,Closed,HACCP,
RISK-0041,Risk: Analytical Testing failure at SITE-US-02,Potential failure in Tablet Compression affecting product quality,Supply Chain,Change Control,4,SITE-US-02,156,9,7,6,378,Control measures implemented per ICH Q9,6,6,5,180,ALARP,2022-02-24,2022-08-23,Closed,HACCP,CAPA-0110
RISK-0042,Risk: API Synthesis failure at SITE-EU-01,Potential failure in Analytical Testing affecting product quality,Product Quality,Aseptic Fill,3,SITE-EU-01,181,10,8,2,160,Control measures implemented per ICH Q9,9,8,1,72,Acceptable,2023-03-31,2023-09-27,Active,HACCP,
RISK-0043,Risk: Supplier Management failure at SITE-EU-01,Potential failure in Tablet Compression affecting product quality,IT/Data Integrity,Cold Chain Distribution,8,SITE-EU-01,185,4,2,9,72,Control measures implemented per ICH Q9,4,1,7,28,Acceptable,2022-11-15,2023-05-14,Active,PHA,
RISK-0044,Risk: Environmental Control failure at SITE-US-02,Potential failure in Computer Systems affecting product quality,Supply Chain,Change Control,7,SITE-US-02,153,6,6,7,252,Control measures implemented per ICH Q9,5,3,5,75,Acceptable,2022-11-20,2023-05-19,Active,HACCP,
RISK-0045,Risk: Computer Systems failure at SITE-AP-01,Potential failure in Cold Chain Distribution affecting product quality,Patient Safety,Change Control,7,SITE-AP-01,355,3,7,2,42,Control measures implemented per ICH Q9,1,6,1,6,Acceptable,2023-02-26,2023-08-25,Active,FMEA,
RISK-0046,Risk: Computer Systems failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,Supply Chain,API Synthesis,5,SITE-US-01,77,6,2,5,60,Control measures implemented per ICH Q9,3,1,5,15,Acceptable,2023-10-08,2024-04-05,Active,FTA,
RISK-0047,Risk: Cold Chain Distribution failure at SITE-AP-01,Potential failure in Cold Chain Distribution affecting product quality,Regulatory,API Synthesis,5,SITE-AP-01,342,7,2,5,70,Control measures implemented per ICH Q9,7,1,4,28,Acceptable,2022-07-13,2023-01-09,Active,FTA,
RISK-0048,Risk: Change Control failure at SITE-EU-02,Potential failure in Supplier Management affecting product quality,Supply Chain,Packaging,7,SITE-EU-02,318,4,9,9,324,Control measures implemented per ICH Q9,2,6,7,84,Acceptable,2024-04-23,2024-10-20,Active,HACCP,
RISK-0049,Risk: Tablet Compression failure at SITE-AP-01,Potential failure in Change Control affecting product quality,Product Quality,Packaging,6,SITE-AP-01,378,9,7,6,378,Control measures implemented per ICH Q9,6,6,3,108,ALARP,2024-01-16,2024-07-14,Active,PHA,CAPA-0012
RISK-0050,Risk: Change Control failure at SITE-US-01,Potential failure in Change Control affecting product quality,Product Quality,API Synthesis,3,SITE-US-01,82,9,6,7,378,Control measures implemented per ICH Q9,8,3,4,96,Acceptable,2023-01-30,2023-07-29,Active,FMEA,
RISK-0051,Risk: Aseptic Fill failure at SITE-EU-02,Potential failure in API Synthesis affecting product quality,Patient Safety,Computer Systems,4,SITE-EU-02,301,5,8,7,280,Control measures implemented per ICH Q9,5,4,4,80,Acceptable,2022-05-23,2022-11-19,Active,FTA,
RISK-0052,Risk: Analytical Testing failure at SITE-EU-02,Potential failure in Packaging affecting product quality,Product Quality,Supplier Management,4,SITE-EU-02,293,10,2,7,140,Control measures implemented per ICH Q9,10,1,4,40,Acceptable,2023-02-22,2023-08-21,Active,FTA,
RISK-0053,Risk: Aseptic Fill failure at SITE-EU-02,Potential failure in Environmental Control affecting product quality,Process,Supplier Management,3,SITE-EU-02,281,6,7,8,336,Control measures implemented per ICH Q9,5,4,7,140,ALARP,2022-04-07,2022-10-04,Closed,FMEA,CAPA-0077
RISK-0054,Risk: Packaging failure at SITE-US-01,Potential failure in Supplier Management affecting product quality,Product Quality,Computer Systems,6,SITE-US-01,94,3,8,4,96,Control measures implemented per ICH Q9,2,8,4,64,Acceptable,2022-08-01,2023-01-28,Active,FMEA,
RISK-0055,Risk: Packaging failure at SITE-EU-02,Potential failure in Computer Systems affecting product quality,Product Quality,Environmental Control,8,SITE-EU-02,282,10,5,6,300,Control measures implemented per ICH Q9,10,1,4,40,Acceptable,2022-04-13,2022-10-10,Active,FMEA,
RISK-0056,Risk: Aseptic Fill failure at SITE-EU-01,Potential failure in Cold Chain Distribution affecting product quality,Patient Safety,API Synthesis,8,SITE-EU-01,191,8,4,9,288,Control measures implemented per ICH Q9,8,1,6,48,Acceptable,2022-01-30,2022-07-29,Active,FTA,
RISK-0057,Risk: Supplier Management failure at SITE-US-01,Potential failure in Analytical Testing affecting product quality,Product Quality,Computer Systems,6,SITE-US-01,92,5,9,8,360,Control measures implemented per ICH Q9,5,9,7,315,Unacceptable,2023-06-21,2023-12-18,Active,PHA,
RISK-0058,Risk: Cold Chain Distribution failure at SITE-EU-01,Potential failure in Computer Systems affecting product quality,Patient Safety,Aseptic Fill,5,SITE-EU-01,174,5,9,5,225,Control measures implemented per ICH Q9,5,6,3,90,Acceptable,2022-08-21,2023-02-17,Active,FTA,
RISK-0059,Risk: Aseptic Fill failure at SITE-AP-01,Potential failure in Aseptic Fill affecting product quality,Patient Safety,Cold Chain Distribution,2,SITE-AP-01,360,4,5,9,180,Control measures implemented per ICH Q9,2,4,7,56,Acceptable,2023-05-27,2023-11-23,Active,FMEA,
RISK-0060,Risk: Change Control failure at SITE-AP-01,Potential failure in Computer Systems affecting product quality,Supply Chain,Change Control,5,SITE-AP-01,339,10,7,6,420,Control measures implemented per ICH Q9,10,7,4,280,Unacceptable,2023-04-08,2023-10-05,Active,FMEA,
RISK-0061,Risk: Change Control failure at SITE-AP-01,Potential failure in Packaging affecting product quality,Product Quality,Tablet Compression,7,SITE-AP-01,434,5,6,6,180,Control measures implemented per ICH Q9,3,5,4,60,Acceptable,2024-03-25,2024-09-21,Active,HACCP,
RISK-0062,Risk: Aseptic Fill failure at SITE-AP-01,Potential failure in API Synthesis affecting product quality,IT/Data Integrity,Analytical Testing,7,SITE-AP-01,341,7,5,5,175,Control measures implemented per ICH Q9,6,3,4,72,Acceptable,2022-03-11,2022-09-07,Active,FTA,
RISK-0063,Risk: Analytical Testing failure at SITE-US-02,Potential failure in Change Control affecting product quality,Process,Analytical Testing,6,SITE-US-02,151,5,9,9,405,Control measures implemented per ICH Q9,2,5,6,60,Acceptable,2022-05-07,2022-11-03,Active,FMEA,
RISK-0064,Risk: Packaging failure at SITE-US-02,Potential failure in Tablet Compression affecting product quality,Patient Safety,Packaging,2,SITE-US-02,159,8,2,5,80,Control measures implemented per ICH Q9,5,1,2,10,Acceptable,2022-01-03,2022-07-02,Active,HACCP,
RISK-0065,Risk: Packaging failure at SITE-EU-02,Potential failure in Computer Systems affecting product quality,IT/Data Integrity,Analytical Testing,4,SITE-EU-02,284,9,8,5,360,Control measures implemented per ICH Q9,9,4,4,144,ALARP,2023-05-02,2023-10-29,Active,PHA,CAPA-0119
RISK-0066,Risk: Tablet Compression failure at SITE-EU-02,Potential failure in Packaging affecting product quality,Supply Chain,Tablet Compression,4,SITE-EU-02,315,3,4,9,108,Control measures implemented per ICH Q9,1,1,9,9,Acceptable,2023-04-26,2023-10-23,Active,FTA,
RISK-0067,Risk: Packaging failure at SITE-EU-01,Potential failure in Aseptic Fill affecting product quality,Patient Safety,Cold Chain Distribution,3,SITE-EU-01,167,6,2,8,96,Control measures implemented per ICH Q9,6,1,6,36,Acceptable,2023-01-23,2023-07-22,Active,FMEA,
RISK-0068,Risk: API Synthesis failure at SITE-US-02,Potential failure in Computer Systems affecting product quality,Product Quality,Aseptic Fill,1,SITE-US-02,126,4,4,4,64,Control measures implemented per ICH Q9,4,1,4,16,Acceptable,2023-11-09,2024-05-07,Active,FTA,
RISK-0069,Risk: Analytical Testing failure at SITE-AP-01,Potential failure in Aseptic Fill affecting product quality,Supply Chain,Aseptic Fill,3,SITE-AP-01,343,3,8,4,96,Control measures implemented per ICH Q9,1,5,3,15,Acceptable,2022-06-02,2022-11-29,Active,FMEA,
RISK-0070,Risk: Environmental Control failure at SITE-EU-01,Potential failure in Environmental Control affecting product quality,Supply Chain,Cold Chain Distribution,4,SITE-EU-01,199,8,7,5,280,Control measures implemented per ICH Q9,7,4,4,112,ALARP,2023-05-04,2023-10-31,Closed,FMEA,
RISK-0071,Risk: Change Control failure at SITE-EU-02,Potential failure in Environmental Control affecting product quality,Supply Chain,Analytical Testing,7,SITE-EU-02,318,6,3,7,126,Control measures implemented per ICH Q9,5,3,5,75,Acceptable,2023-08-03,2024-01-30,Active,FMEA,
RISK-0072,Risk: Change Control failure at SITE-AP-01,Potential failure in Environmental Control affecting product quality,IT/Data Integrity,Packaging,3,SITE-AP-01,336,3,5,7,105,Control measures implemented per ICH Q9,1,2,6,12,Acceptable,2023-08-12,2024-02-08,Active,FMEA,
RISK-0073,Risk: Packaging failure at SITE-AP-01,Potential failure in Supplier Management affecting product quality,IT/Data Integrity,Aseptic Fill,1,SITE-AP-01,340,8,7,8,448,Control measures implemented per ICH Q9,8,3,5,120,ALARP,2022-01-28,2022-07-27,Active,FMEA,
RISK-0074,Risk: Supplier Management failure at SITE-AP-01,Potential failure in Supplier Management affecting product quality,Product Quality,Aseptic Fill,2,SITE-AP-01,321,4,3,6,72,Control measures implemented per ICH Q9,4,1,5,20,Acceptable,2022-10-02,2023-03-31,Active,FTA,
